minute,boiler1_massflowrate,boiler1_supply_temp,radiator_return_temp,boiler2_massflowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_partloadratio,boiler2_partloadratio,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,pumps_dP,plant_enable_signal,t,zone_thermal_load,boiler1_power_generation,boiler2_power_generation,boiler1_power_consumption,boiler2_power_consumption,pumps_power_consumption,total_boiler_generation,total_boiler_consumption,total_plant_consumption,zone_temperature_deviation
540,-0.042388134,334.82486,304.38577,-0.042388134,334.82486,0.0,0.0,294.0455,295.04782,-8.515213e-05,334.9271,334.96002,-4.6971596e-18,-5.832486e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.30353,0.0,32400.0,3339.61529423199,-5419.0757,-5419.0757,0.0,0.0,0.0,-10838.151,0.0,0.0,-0.21450806
555,-0.042388175,334.66138,303.70724,-0.042388175,334.66138,0.0,0.0,294.01566,294.42508,-8.5152205e-05,334.92038,334.9539,2.4766813e-17,-5.7365865e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.30359,0.0,33300.0,3319.666836405055,-5510.7744,-5510.7744,0.0,0.0,0.0,-11021.549,0.0,0.0,-0.24435425
570,-0.04238821,334.4744,303.02893,-0.04238821,334.4744,0.0,0.0,293.98727,294.2078,-8.515228e-05,334.91104,334.9454,-3.9403187e-18,-2.7522226e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.30364,0.0,34200.0,3154.787441507878,-5598.251,-5598.251,0.0,0.0,0.0,-11196.502,0.0,0.0,-0.2727356
585,32.998077,347.86557,294.102,0.6419046,332.98782,112.32047,-4.745795,293.97205,335.43515,0.033789124,347.57004,332.64786,0.9998862,1.1092641e-16,0.8790211,0.0,2853780.5,0.0,343.15,343.15,-2677.4287,1.0,35100.0,5865767.443731215,7451198.0,104836.18,2853780.5,0.0,107.57468,7556034.0,2853780.5,2853888.0,-0.28796387
600,5.2262163,336.7913,294.6758,5.5733495,344.6124,2.6533759,2.5555964,294.0537,348.55545,0.0108474465,335.86267,344.4675,0.012044791,1.0,0.0,0.34825963,0.0,244055.33,343.15,343.15,-4132.033,1.0,36000.0,2454717.293286512,924439.4,1168919.0,0.0,244055.33,5.208972,2093358.4,244055.33,244060.53,-0.20629883
615,4.848601,325.73825,295.84692,4.8486013,351.28104,2.3638527,2.2768986,294.19006,331.18164,0.009740195,327.94412,353.03268,0.99912083,1.0,1.0,1.0,3246544.0,700785.6,342.039,342.039,-4125.414,1.0,36900.0,1445501.5690466552,608710.7,1128867.2,3246544.0,700785.6,4.6407514,1737578.0,3947329.5,3947334.2,-0.06994629
630,7.0710144,339.69467,296.3109,7.0710144,331.76566,3.5503347,3.4180112,294.3092,341.15,0.014204728,339.48746,331.7771,0.99912083,1.0,0.20070235,0.18363097,651589.0,128685.945,336.484,336.484,-4141.966,1.0,37800.0,2675093.254621839,1288422.1,1052944.1,651589.0,128685.945,6.9683456,2341366.2,780274.94,780281.9,0.049194336
645,8.698417,335.5277,296.10825,8.698417,337.02554,4.4276767,4.2588468,294.4055,336.296,0.017473964,335.52588,336.98068,0.99912083,1.0,0.12769206,0.102068365,414557.84,71528.04,333.151,333.151,-4118.9775,1.0,38700.0,2949404.619767574,1440125.1,1494846.0,414557.84,71528.04,8.686523,2934971.0,486085.88,486094.56,0.1454773
660,-0.063131295,331.27643,295.9809,-0.06313594,331.08298,8.649986e-20,8.640402e-20,294.45584,332.24515,-0.00012682706,331.202,331.01,0.016060237,0.016108539,0.0,0.0,0.0,0.0,332.04,332.04,-99.21707,0.0,39600.0,-19317.010953442004,-9358.661,-9308.052,0.0,0.0,1.7290388e-19,-18666.713,0.0,1.7290388e-19,0.1958313
675,-0.042387918,331.32974,296.21494,-0.042387918,331.20084,-1.7155e-41,-1.7136e-41,294.4757,332.0564,-8.5151696e-05,331.20468,331.01428,5.297473e-12,5.3158302e-12,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,40500.0,-12818.237085147288,-6251.463,-6228.5137,0.0,0.0,-3.4291e-41,-12479.977,0.0,-3.4291e-41,0.21569824
690,-0.042387918,331.37033,296.217,-0.042387918,331.28336,0.0,0.0,294.47144,332.05438,-8.515169e-05,331.20746,331.01855,-6.575048e-18,-1.3616897e-17,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,41400.0,-12816.773484664745,-6258.3193,-6242.835,0.0,0.0,0.0,-12501.154,0.0,0.0,0.21142578
705,-0.042387918,331.4036,296.2171,-0.042387918,331.34488,0.0,0.0,294.4608,332.0543,-8.515169e-05,331.21042,331.02298,-4.414014e-21,8.817993e-21,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,42300.0,-12816.707999357168,-6264.225,-6253.772,0.0,0.0,0.0,-12517.997,0.0,0.0,0.20077515
720,-0.042387918,331.43204,296.2171,-0.042387918,331.3922,0.0,0.0,294.44128,332.0543,-8.515169e-05,331.21356,331.02753,-7.141193e-19,2.117729e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,43200.0,-12816.707999357168,-6269.2886,-6262.198,0.0,0.0,0.0,-12531.486,0.0,0.0,0.18127441
735,-0.042387918,331.4574,296.21716,-0.042387918,331.4305,0.0,0.0,294.41965,332.0542,-8.515169e-05,331.2169,331.03223,-3.680959e-18,-7.366103e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,44100.0,-12816.653428267522,-6273.7925,-6269.006,0.0,0.0,0.0,-12542.799,0.0,0.0,0.15963745
750,-0.042387918,331.4807,296.22055,-0.042387918,331.46246,0.0,0.0,294.39764,332.0496,-8.5151696e-05,331.22037,331.03705,2.5428386e-18,7.6978725e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,0.0,45000.0,-12813.794998070449,-6277.3403,-6274.0913,0.0,0.0,0.0,-12551.432,0.0,0.0,0.13763428
