minute,boiler1_massflowrate,boiler1_supply_temp,radiator_return_temp,boiler2_massflowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,outdoor_air_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_partloadratio,boiler2_partloadratio,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,pumps_dP,plant_enable_signal,t,zone_thermal_load,boiler1_power_generation,boiler2_power_generation,boiler1_power_consumption,boiler2_power_consumption,pumps_power_consumption,total_boiler_generation,total_boiler_consumption,total_plant_consumption,zone_temperature_deviation
345,-0.06336892,340.25858,316.43613,-0.06336892,340.25632,0.0,0.0,294.20438,234.96648,310.52063,-0.00012729973,339.73798,339.1199,-1.7577133e-19,-4.2409726e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.303505,0.0,20700.0,3162.77288483926,-6340.3315,-6339.7305,0.0,0.0,0.0,-12680.0625,0.0,0.0,-0.055633545
360,-0.06336898,340.28314,320.76184,-0.06336898,340.2816,0.0,0.0,294.1533,234.85,301.05875,-0.00012729986,339.75122,339.12814,-7.289846e-20,1.02998236e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30357,0.0,21600.0,10534.445190211627,-5195.589,-5195.175,0.0,0.0,0.0,-10390.764,0.0,0.0,-0.10671997
375,-0.063369066,340.30243,321.8187,-0.063369066,340.3014,0.0,0.0,294.0943,234.82443,296.22183,-0.00012730004,339.76437,339.1364,4.6861614e-18,-7.8248484e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30366,0.0,22500.0,13685.622746409364,-4919.4473,-4919.1714,0.0,0.0,0.0,-9838.619,0.0,0.0,-0.16571045
390,-0.06336915,340.315,320.8406,-0.06336915,340.3143,0.0,0.0,294.03754,234.85,294.65735,-0.0001273002,339.7772,339.1446,2.6185118e-19,-2.8686603e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30375,0.0,23400.0,13999.162534643528,-5183.1187,-5182.9316,0.0,0.0,0.0,-10366.051,0.0,0.0,-0.22247314
405,81.01185,339.09027,294.2108,1.8127567,340.2359,63.951965,0.0,293.9752,234.87556,332.26776,0.08319183,338.66742,339.1445,0.99242383,3.5991757e-17,0.0,0.0,0.0,0.0,343.15,343.15,-1928.2574,1.0,24300.0,13297323.428427171,15270234.0,350415.8,0.0,0.0,63.951965,15620650.0,0.0,63.951965,-0.28482056
420,8.982358,339.09073,294.24548,8.982358,335.67862,4.583816,4.471005,293.97595,234.85,337.55304,0.018044364,339.363,337.2239,0.9997666,0.9995229,1.0,1.0,2426755.0,1503162.5,343.15,343.15,-4148.883,1.0,25200.0,3282120.636847003,1691827.4,1563102.5,2426755.0,1503162.5,9.054821,3254930.0,3929917.5,3929926.5,-0.28405762
435,7.2257586,307.20093,295.22842,7.560801,337.35858,3.6891913,3.5984921,294.1141,234.73196,332.16708,0.014852117,306.91135,337.1515,0.014526855,1.0,0.0,0.16044031,0.0,241167.86,343.15,343.15,-4129.5166,1.0,26100.0,2304192.611304154,363343.75,1337858.5,0.0,241167.86,7.2876835,1701202.2,241167.86,241175.14,-0.14590454
450,9.440691,336.5394,296.1097,9.440691,363.4028,4.7995615,4.680745,294.25497,234.5534,333.41223,0.018965095,337.1409,362.37848,0.99914575,1.0,1.0,0.01,2426755.0,15031.625,338.706,338.706,-4109.5044,1.0,27000.0,2971272.6132796886,1603073.6,2668231.8,2426755.0,15031.625,9.480307,4271305.5,2441786.5,2441796.0,-0.0050354004
465,9.29004,344.05347,296.15912,9.29004,335.4727,4.7398257,4.6228514,294.36856,234.37315,341.69064,0.018662456,343.92297,335.3732,0.99914575,1.0,0.37899137,0.016893933,919719.1,25394.324,335.373,335.373,-4132.616,1.0,27900.0,3568866.39819561,1868749.8,1533943.4,919719.1,25394.324,9.362677,3402693.0,945113.44,945122.8,0.108551025
480,10.949529,333.82736,295.8244,10.949529,333.54294,5.7125955,5.5708222,294.44672,234.25,334.6241,0.021996148,333.74216,333.50217,0.99914575,1.0,0.0,0.0,0.0,0.0,333.151,333.151,-4147.9873,0.0,28800.0,3584465.7650676253,1747680.9,1734600.8,0.0,0.0,11.283418,3482281.5,0.0,11.283418,0.18670654
495,-0.06336876,332.0316,296.3906,-0.06336876,332.74933,0.0,0.0,294.47266,234.19376,333.18634,-0.00012729941,331.71182,332.7471,-5.4030527e-11,-5.420116e-11,0.0,0.0,0.0,0.0,343.15,343.15,-66.30334,0.0,29700.0,-19673.122646916407,-9485.808,-9676.834,0.0,0.0,0.0,-19162.64,0.0,0.0,0.21264648
510,-0.06336878,332.23553,296.5746,-0.06336878,332.71912,0.0,0.0,294.44965,234.175,333.007,-0.00012729946,331.73282,332.74646,-1.6488798e-18,-7.493089e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30336,0.0,30600.0,-19478.865637664454,-9491.122,-9619.827,0.0,0.0,0.0,-19110.95,0.0,0.0,0.18963623
525,-0.06336879,332.38,297.3571,-0.06336879,332.70612,0.0,0.0,294.41245,234.19376,332.17786,-0.00012729947,331.75385,332.746,-3.8980258e-19,-1.5702364e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30337,0.0,31500.0,-18617.195588007984,-9321.3125,-9408.106,0.0,0.0,0.0,-18729.418,0.0,0.0,0.1524353
540,-0.06336881,332.48474,300.73184,-0.06336881,332.70474,0.0,0.0,294.36087,234.25,328.4438,-0.00012729951,331.7749,332.7457,5.9609763e-19,6.7433733e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30339,0.0,32400.0,-14816.411739099422,-8451.003,-8509.556,0.0,0.0,0.0,-16960.559,0.0,0.0,0.100860596
555,-0.06336884,332.56308,306.8971,-0.06336884,332.7112,0.0,0.0,294.3084,234.38594,321.2952,-0.00012729959,331.79602,332.74557,-8.583022e-21,-4.662148e-21,0.0,0.0,0.0,0.0,343.15,343.15,-66.30342,0.0,33300.0,-7698.0641305241625,-6830.98,-6870.4053,0.0,0.0,0.0,-13701.385,0.0,0.0,0.04840088
570,-0.063368894,332.62302,314.9143,-0.063368894,332.72324,0.0,0.0,294.247,234.5875,311.4132,-0.00012729969,331.81717,332.74557,-1.269398e-19,-2.072005e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30348,0.0,34200.0,1871.8928183034222,-4713.1616,-4739.835,0.0,0.0,0.0,-9452.996,0.0,0.0,-0.013000488
585,-0.06336896,332.6709,321.47607,-0.06336896,332.7388,0.0,0.0,294.19162,234.77031,302.50476,-0.00012729982,331.83838,332.74576,-2.1023966e-18,-4.9460454e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.30355,0.0,35100.0,10143.188099050703,-2979.4983,-2997.5703,0.0,0.0,0.0,-5977.0684,0.0,0.0,-0.06838989
600,-0.06336904,332.7107,324.54535,-0.06336904,332.7565,0.0,0.0,294.1272,234.85,297.18695,-0.0001273,331.8596,332.74606,-1.4859488e-18,-1.108042e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.30364,0.0,36000.0,14627.440658998126,-2173.2063,-2185.3977,0.0,0.0,0.0,-4358.604,0.0,0.0,-0.1328125
615,-0.06336913,332.74435,324.7276,-0.06336913,332.77533,0.0,0.0,294.06555,234.85,295.11783,-0.00012730017,331.8808,332.74652,-1.1905806e-18,-8.039517e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.303734,0.0,36900.0,15831.181565612074,-2133.662,-2141.906,0.0,0.0,0.0,-4275.5684,0.0,0.0,-0.19445801
630,-0.06336922,332.77322,323.69452,-0.06336922,332.79422,0.0,0.0,294.00162,234.85,294.53592,-0.00012730034,331.90198,332.7471,-1.0587018e-19,-5.5594416e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.303825,0.0,37800.0,15589.979076139305,-2416.304,-2421.892,0.0,0.0,0.0,-4838.1963,0.0,0.0,-0.25839233
645,9.111968,334.35452,294.24954,9.110057,331.51657,4.7195344,4.604111,293.98117,234.85,337.19434,0.018302813,334.91895,331.12875,0.9997124,0.21342146,1.0,0.0,2426755.0,0.0,343.15,343.15,-4208.7437,1.0,38700.0,3301244.2505164472,1534828.2,1425919.9,2426755.0,0.0,9.323646,2960748.0,2426755.0,2426764.2,-0.2788391
