minute,boiler1_flowrate,boiler1_supply_temp,radiator_return_temp,boiler2_flowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,outdoor_air_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_actuatorSignal,boiler2_actuatorSignal,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,t
2927,-4.120281e-06,302.8666,302.30023,-0.00027903903,318.07336,3.9100223,3.3857832,289.0557,273.15,318.91937,0.0002831593,302.82272,318.07346,0.014573747,1.0,0.0,1.0,0.0,22500.0,343.15,343.15,175649.5
2928,-4.121823e-06,302.85205,302.96802,-0.00027914345,318.20856,3.7781956,3.5255132,289.0528,273.15,318.256,0.00028326528,302.82376,318.21768,0.014573747,1.0,0.0,1.0,0.0,22500.0,343.15,343.15,175708.83
2929,-4.1228113e-06,302.84378,303.65155,-0.0002792104,318.55054,3.746583,3.5623844,289.05255,273.15,318.0204,0.00028333318,302.83237,318.5654,0.014573747,1.0,0.0,1.0,0.0,22500.0,340.3959,340.3959,175769.67
2930,-4.123536e-06,302.84265,304.3022,-0.0002792595,319.01065,3.740493,3.5723355,289.05457,273.15,318.11877,0.000283383,302.84845,319.0289,0.014573747,1.0,0.0,1.0,0.0,22500.0,333.15,333.15,175829.5
2931,-4.1239086e-06,302.8486,304.91217,-0.0002792847,319.54178,3.7395728,3.5752385,289.0584,273.15,318.4276,0.00028340862,302.872,319.56177,0.014573747,1.0,0.0,1.0,0.0,22500.0,333.15,333.15,175889.5
2932,-4.1241183e-06,302.86172,305.46295,-0.00027929887,320.10196,3.7396874,3.5762377,289.0639,273.15,318.865,0.000283423,302.90262,320.12234,0.014573747,1.0,0.0,1.0,0.0,22500.0,333.15,333.15,175949.5
2933,-4.056763e-06,302.88156,305.9383,-0.00027473742,320.66702,9.981945,-1.5279379,289.07083,273.15,319.37567,0.00027879418,302.9391,320.691,0.014573747,1.0,0.0,1.0,0.0,22500.0,333.15,333.15,176008.86
2934,-1.8995037e-05,302.92758,306.29895,-0.0002507033,321.63412,57.026505,-13.701739,289.07925,273.15,319.99414,0.00026969833,303.0055,321.67886,0.07343912,1.0,0.0,1.0,0.0,22500.0,333.15,333.15,176069.45
2935,-0.00014086466,303.71185,306.7762,-0.00022216003,322.65814,15.2121,-0.50561184,289.0891,273.15,319.77304,0.00036302468,303.81088,322.736,0.6622388,1.0,0.0,1.0,0.0,22500.0,333.15,333.15,176129.22
2936,-0.0001390447,305.03076,307.18518,-0.000142132,325.38855,2.4193761,-0.0014473886,289.1013,273.15,317.25885,0.0002811767,305.16357,325.63306,0.978645,1.0,0.17460318,1.0,2619.0476,22500.0,333.15,333.15,176189.52
2937,-0.00014572602,310.16602,307.42896,-0.00014583684,328.42267,2.5885673,-1.8432862e-05,289.11307,273.15,315.9572,0.00029156287,310.6821,328.60165,0.99922603,1.0,1.0,1.0,15000.0,22500.0,333.15,333.15,176248.78
2938,-0.00014360156,316.2899,307.65527,-0.00014360624,330.70166,2.471409,-3.1071667e-07,289.1241,273.15,317.9163,0.0002872078,316.63962,330.84662,0.999967,1.0,1.0,1.0,15000.0,22500.0,333.15,333.15,176308.84
2939,-0.00014263997,320.4757,307.828,-0.00014264339,332.59863,2.4218054,-4.546798e-09,289.1353,273.15,321.56503,0.00028528334,320.71356,332.71655,0.9999757,1.0,1.0,1.0,15000.0,22500.0,333.15,333.15,176369.98
