minute,zone_thermal_load,boiler1_power_generation,boiler2_power_generation,boiler1_power_consumption,boiler2_power_consumption,pumps_power_consumption,total_boiler_generation
2963,11377.38924669307,5038.827649067912,6482.956155676334,5489.936,8085.9375,2.1623354,11521.783804744246
2964,11580.368133223828,5098.883620962624,6752.437876492933,6955.431,10384.615,2.1623151,11851.321497455558
2965,11917.857400714027,4530.894484896919,6356.1858346991685,0.0,2857.1428,2.1623044,10887.080319596087
2966,11813.0711723051,3192.682437916705,7540.088667196621,0.0,22500.0,2.1622992,10732.771105113326
2967,11349.856998717201,2292.210664974892,10308.210200645008,0.0,22500.0,2.1622968,12600.4208656199
2968,11805.993155691753,1642.5944603117414,12479.2759938404,0.0,22500.0,2.1424847,14121.87045415214
2969,11127.733121733741,679.4458091746947,16574.93665777068,0.0,22500.0,2.3886025,17254.382466945375
2970,13845.277264972821,83.28805278257079,23255.270372830593,0.0,22500.0,4.8705006,23338.558425613162
2971,20357.51176866345,45.16818941222578,23869.595227133545,0.0,22500.0,6.88062,23914.76341654577
2972,23524.360793838638,47.307430256560146,22037.010880512575,0.0,22500.0,6.945163,22084.318310769137
2973,23539.05702861816,48.98576861305237,21036.52468244821,0.0,22500.0,7.058118,21085.510451061262
2974,22478.11110346767,49.571541945642174,20388.563484950773,0.0,22500.0,7.1868286,20438.135026896416
2975,21332.16333894623,48.47100712102037,19834.464632056737,0.0,22500.0,7.2436886,19882.93563917776
2976,20355.86947599999,45.64164012083039,19357.810175790037,0.0,22500.0,7.274819,19403.451815910867
2977,19546.076864264705,41.328702364562545,18950.369338002027,0.0,22500.0,7.293538,18991.698040366588
2978,18863.95909339278,35.8367391877501,18608.594217550235,0.0,22500.0,7.304108,18644.430956737986
2979,17532.1575244924,28.708112156319853,17630.999453759345,0.0,22500.0,13.671768,17659.707565915665
2980,16845.96715740554,23.888679274719493,14067.512711169882,0.0,0.0,43.958164,14091.401390444602
2981,16630.58623904021,20.507123644808445,8902.756916801201,0.0,0.0,13.338832,8923.26404044601
2982,11695.813391584765,14.458752146170873,4837.048946519218,0.0,0.0,8.389091,4851.5076986653885
2983,7709.166546196045,68.81048353433172,2648.806485552768,0.0,0.0,8.56963,2717.6169690870997
