minute,boiler1_massflowrate,boiler1_supply_temp,radiator_return_temp,boiler2_massflowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,outdoor_air_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_actuatorSignal,boiler2_actuatorSignal,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,pumps_dP,t,zone_thermal_load,boiler1_power_generation,boiler2_power_generation,boiler1_power_consumption,boiler2_power_consumption,pumps_power_consumption,total_boiler_generation,total_boiler_consumption,total_plant_consumption,zone_temperature_deviation
450,-0.042387933,335.52402,298.28418,-0.042387933,335.52414,0.0,0.0,294.27747,262.75293,334.2774,-8.5151725e-05,334.8543,334.95554,2.3528788e-19,5.603109e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30321,27000.0,-12872.517895219104,-6629.7827,-6629.804,0.0,0.0,0.0,-13259.587,0.0,0.0,0.017456055
465,-0.042387944,335.51157,300.42923,-0.042387944,335.51166,0.0,0.0,294.2446,262.94705,329.8369,-8.515175e-05,334.86838,334.95914,-6.4373367e-20,6.050083e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30323,27900.0,-10517.285926910568,-6245.686,-6245.702,0.0,0.0,0.0,-12491.389,0.0,0.0,-0.015411377
480,-0.042387962,335.4904,303.19232,-0.042387962,335.49048,0.0,0.0,294.2168,263.15,323.72534,-8.515178e-05,334.88123,334.96243,-4.0139231e-19,-1.1999803e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.30325,28800.0,-7343.377749680613,-5750.007,-5750.023,0.0,0.0,0.0,-11500.029,0.0,0.0,-0.04321289
495,-0.042387985,335.45963,306.30963,-0.042387985,335.4597,0.0,0.0,294.18198,263.35373,316.20743,-8.5151834e-05,334.89267,334.9654,5.0799084e-17,3.120052e-17,0.0,0.0,0.0,0.0,343.15,343.15,-66.30329,29700.0,-3539.825264608121,-5189.56,-5189.571,0.0,0.0,0.0,-10379.131,0.0,0.0,-0.07803345
510,-0.04238801,335.4182,309.04236,-0.04238801,335.41824,0.0,0.0,294.15543,263.59082,308.72937,-8.515188e-05,334.90247,334.9679,2.6507786e-18,-6.4004845e-20,0.0,0.0,0.0,0.0,343.15,343.15,-66.30333,30600.0,111.93646776419541,-4695.684,-4695.6895,0.0,0.0,0.0,-9391.373,0.0,0.0,-0.10458374
525,-0.04238804,335.3655,310.86322,-0.04238804,335.36554,0.0,0.0,294.1243,263.88248,302.52527,-8.515194e-05,334.91037,334.96985,-4.0424529e-19,-3.1622195e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.303375,31500.0,2981.9697122293933,-4362.1367,-4362.142,0.0,0.0,0.0,-8724.279,0.0,0.0,-0.13571167
540,-0.04238807,335.3004,311.5765,-0.04238807,335.3004,0.0,0.0,294.09674,264.25,298.27094,-8.5152e-05,334.91608,334.9712,-1.01198336e-19,-7.1711896e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30343,32400.0,4758.583758602786,-4223.5645,-4223.5645,0.0,0.0,0.0,-8447.129,0.0,0.0,-0.16326904
555,-0.042388108,335.22202,311.37622,-0.042388108,335.22202,0.0,0.0,294.06683,264.7461,295.87488,-8.5152074e-05,334.9193,334.97183,3.8721563e-19,1.481478e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.30348,33300.0,5543.880275227053,-4245.268,-4245.268,0.0,0.0,0.0,-8490.536,0.0,0.0,-0.19317627
570,-0.042388145,335.12906,310.62924,-0.042388145,335.1291,0.0,0.0,294.03812,265.34375,294.77097,-8.515215e-05,334.91974,334.9716,-1.700271e-19,-9.2302306e-20,0.0,0.0,0.0,0.0,343.15,343.15,-66.30354,34200.0,5671.538392363474,-4361.7075,-4361.713,0.0,0.0,0.0,-8723.42,0.0,0.0,-0.22189331
585,-0.04238818,335.0205,309.6576,-0.04238818,335.0205,0.0,0.0,294.011,265.94452,294.338,-8.515222e-05,334.91696,334.9704,-9.065538e-19,4.6033247e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.3036,35100.0,5478.884261879102,-4515.3687,-4515.3687,0.0,0.0,0.0,-9030.737,0.0,0.0,-0.24902344
600,-0.042388212,334.89587,308.64667,-0.042388212,334.89587,0.0,0.0,293.98685,266.45,294.17694,-8.5152285e-05,334.91074,334.96814,7.11995e-20,-9.545201e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30365,36000.0,5174.94720474616,-4673.159,-4673.159,0.0,0.0,0.0,-9346.318,0.0,0.0,-0.27316284
615,11.954674,333.86798,294.10522,0.105025925,333.58823,3.1066382,2.9960144,293.9743,266.875,331.03125,0.012113167,333.6773,333.3095,0.99976593,4.0470126e-17,1.0,0.0,1623272.0,0.0,343.15,343.15,-4310.3906,36900.0,1878622.6670638826,1996473.2,17416.303,1623272.0,0.0,6.1026525,2013889.5,1623272.0,1623278.1,-0.28570557
630,5.385704,311.90805,294.72443,5.633592,341.51715,2.7110682,2.6111083,294.04636,267.3,340.58893,0.01106815,311.29147,340.89993,0.0145525765,1.0,0.0,0.03909959,0.0,39313.66,343.15,343.15,-4132.4854,37800.0,2132067.8638956454,388692.84,1107166.8,0.0,39313.66,5.3221765,1495859.6,39313.66,39318.98,-0.21365356
645,6.8642077,321.19717,295.9011,6.8642077,358.62448,3.4423714,3.3143969,294.16568,267.725,323.6246,0.013789281,321.99133,359.63647,0.99902505,1.0,1.0,1.0,1623272.0,1005475.0,342.039,342.039,-4147.167,38700.0,1605606.604706918,729277.75,1808294.8,1623272.0,1005475.0,6.756768,2537572.5,2628747.0,2628753.8,-0.094329834
660,7.250787,343.70358,296.406,7.250787,334.85754,3.6616168,3.5251422,294.2679,268.15,340.74677,0.014565867,343.8297,334.725,0.99902505,1.0,0.76577705,0.05379766,1243064.4,54092.203,336.484,336.484,-4158.032,39600.0,2712618.798965184,1440367.5,1170976.4,1243064.4,54092.203,7.186759,2611344.0,1297156.6,1297163.8,0.007904053
675,7.5814986,335.81152,296.2582,7.581499,335.39346,3.8417573,3.6980252,294.37048,268.575,336.8632,0.015230224,335.74066,335.36194,0.99902505,1.0,0.26858956,0.060872085,435993.9,61205.36,333.151,333.151,-4156.2617,40500.0,2597376.3027825044,1259468.2,1246156.4,435993.9,61205.36,7.5397825,2505624.5,497199.25,497206.78,0.11047363
690,8.279024,331.73615,295.8852,8.279024,330.87665,4.2439203,4.0840096,294.43744,269.0,332.24243,0.01663146,331.6788,330.8371,0.99902505,1.0,0.09535821,0.01,154792.31,10054.75,329.818,329.818,-4171.451,41400.0,2539630.6137849707,1246605.8,1216719.5,154792.31,10054.75,8.32793,2463325.2,164847.06,164855.39,0.1774292
705,-0.042387936,329.1065,296.27588,-0.042387936,329.70642,0.0,0.0,294.47177,269.425,330.24545,-8.515173e-05,328.8661,329.68097,5.795521e-11,5.8141266e-11,0.0,0.0,0.0,0.0,343.15,343.15,-66.303215,42300.0,-12148.785918973948,-5844.8145,-5951.6167,0.0,0.0,0.0,-11796.432,0.0,0.0,0.21176147
720,-0.042387918,329.29,296.3209,-0.042387918,329.69443,0.0,0.0,294.475,269.85,330.2036,-8.5151696e-05,328.88394,329.6809,1.5627551e-19,-5.1714655e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,43200.0,-12117.718861707872,-5869.4673,-5941.4653,0.0,0.0,0.0,-11810.933,0.0,0.0,0.21499634
735,-0.042387918,329.42084,296.32343,-0.042387918,329.6932,0.0,0.0,294.46484,270.20938,330.20096,-8.5151696e-05,328.9019,329.68097,-1.5480494e-18,-2.0964969e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,44100.0,-12115.863444501329,-5892.3076,-5940.7974,0.0,0.0,0.0,-11833.105,0.0,0.0,0.20483398
750,-0.042387918,329.51596,296.32373,-0.042387918,329.6994,0.0,0.0,294.44974,270.475,330.2006,-8.5151696e-05,328.9199,329.68115,2.536838e-19,-8.5758395e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,45000.0,-12115.623331686365,-5909.188,-5941.8457,0.0,0.0,0.0,-11851.033,0.0,0.0,0.18972778
765,-0.042387918,329.5867,296.32413,-0.042387918,329.7108,0.0,0.0,294.43082,270.70312,330.20013,-8.5151696e-05,328.938,329.68152,1.8124464e-19,7.26533e-20,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,45900.0,-12115.317733558228,-5921.711,-5943.802,0.0,0.0,0.0,-11865.513,0.0,0.0,0.17080688
780,-0.042387918,329.64178,296.32477,-0.042387918,329.72552,0.0,0.0,294.4161,270.95,330.1993,-8.5151696e-05,328.95618,329.68204,1.2950176e-19,1.6681762e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,46800.0,-12114.793851052851,-5931.4033,-5946.3115,0.0,0.0,0.0,-11877.715,0.0,0.0,0.15609741
795,-0.042387918,329.68604,296.3296,-0.042387918,329.7426,0.0,0.0,294.39178,271.27655,330.19305,-8.5151696e-05,328.97443,329.68268,-2.5636483e-19,4.4328144e-20,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,47700.0,-12110.831989605942,-5938.423,-5948.4956,0.0,0.0,0.0,-11886.918,0.0,0.0,0.1317749
