Date/Time,LIVING ZONE:Zone Combined Outdoor Air Sensible Heat Loss Energy [J](TimeStep:REPORTSCH),LIVING ZONE:Zone Combined Outdoor Air Current Density Volume Flow Rate [m3/s](TimeStep:REPORTSCH),LIVING ZONE:Zone Combined Outdoor Air Mass [kg](TimeStep:REPORTSCH),LIVING ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),LIVING ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),LIVING ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),ACDXCOIL 1:Cooling Coil Total Cooling Energy [J](TimeStep:REPORTSCH),HEAT PUMP DX HEATING COIL 1:Heating Coil Heating Energy [J](TimeStep:REPORTSCH),SUPP HEATING COIL 1:Heating Coil Heating Energy [J](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Cycling Ratio [](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Speed Ratio [](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Speed Level [](TimeStep) 
 07/21  11:20:00,0.0,0.027728626103383006,9.45838949285745,0.0,2026134.3306668038,26.598937224746543,0.0,0.0,32.78647179145483,0.0,0.0,48.88369158335536,2453179.7499921834,0.0,0.0,0.38612000727283624,0.0,1.0 
 07/21  11:30:00,0.0,0.02770751577235782,9.452812831360362,0.0,2072914.985191917,26.599007539519032,0.0,0.0,33.04052125391479,0.0,0.0,49.24034520837175,2475161.395250692,0.0,0.0,0.39165599824186714,0.0,1.0 
 07/21  11:40:00,0.0,0.02768702036879406,9.44724275483521,0.0,2122081.1788852913,26.599069912444627,0.0,0.0,33.28418458174596,0.0,0.0,49.54824351655893,2503048.7719197907,0.0,0.0,0.3979725517357844,0.0,1.0 
 07/21  11:50:00,0.0,0.013889337605659685,9.441679116359657,0.0,2175733.3603515388,26.59847975113929,0.0,0.0,33.51792588934999,0.0,0.0,49.813531491825785,2541237.6807897417,0.0,0.0,0.40569947499073794,0.0,1.0 
 07/21  12:00:00,0.0,0.013879127539142456,9.436122124129463,0.0,2232230.003058869,26.598482784039465,0.0,0.0,33.74578374623478,0.0,0.0,50.04214218817897,2587757.282853367,0.0,0.0,0.41455321873469914,0.0,1.0 
 07/21  12:10:00,0.0,0.013870827532944056,9.431681196838777,0.0,2295917.5864761514,26.598553159279767,0.0,0.0,33.95773429264918,0.0,0.0,50.24549714314774,2639394.8807864636,0.0,0.0,0.42425259433861096,0.0,1.0 
 07/21  12:20:00,0.0,0.013862733651216791,9.427244438633123,0.0,2364915.111056312,26.598621133081156,0.0,0.0,34.15418025634829,0.0,0.0,50.44169062643554,2698743.652359543,0.0,0.0,0.43513256715707205,0.0,1.0 
 07/21  12:30:00,0.0,0.013854810343980567,9.422811948911887,0.0,2439574.9624171816,26.598681624847007,0.0,0.0,34.34065555126512,0.0,0.0,50.63129875278642,2765563.0602557543,0.0,0.0,0.44718941633441267,0.0,1.0 
 07/21  12:40:00,0.0,0.013847037011926713,9.41838351557192,0.0,2519724.166219018,26.598735814428096,0.0,0.0,34.52067597725974,0.0,0.0,50.80423937357847,2839302.668888381,0.0,0.0,0.46035579351874345,0.0,1.0 
 07/21  12:50:00,0.0,0.013839398917729081,9.413959238064614,0.0,2604935.711282454,26.598784760257203,0.0,0.0,34.694806339736964,0.0,0.0,50.953013001909014,2919287.4166720547,0.0,0.0,0.4745361007047981,0.0,1.0 
