minute,boiler1_flowrate,boiler1_supply_temp,radiator_return_temp,boiler2_flowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,outdoor_air_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_actuatorSignal,boiler2_actuatorSignal,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,pumps_dP,t,zone_thermal_load,boiler1_power_generation,boiler2_power_generation,boiler1_power_consumption,boiler2_power_consumption,pumps_power_consumption,total_boiler_generation,total_boiler_consumption,total_plant_consumption,zone_temperature_deviation
2903,-0.00025842374,305.88788,292.66974,-2.6007626e-08,293.16476,6.4502435,-8.846e-42,290.3495,273.15,305.8074,0.00025844973,305.8444,293.1501,0.9999986,-3.8369957e-11,1.0,0.0,19212.295,0.0,343.15,343.15,-77843.8,174209.5,14260.788692985749,14346.700399269706,0.05407265516281512,19212.295,0.0,6.4502435,14346.754471924869,19212.295,19218.746,-3.9105225
2904,-0.00026990566,304.9233,292.76044,-2.7163162e-08,293.16864,7.343576,-1.01e-43,290.2511,273.15,305.6668,0.00026993282,304.89386,293.15012,0.9999986,-3.836998e-11,1.0,0.0,19212.295,0.0,343.15,343.15,-84894.72,174269.5,14632.184203612298,13787.878139720533,0.046569968637638626,19212.295,0.0,7.343576,13787.92470968917,19212.295,19219.639,-4.008911
2905,-0.00027578324,304.32864,293.01926,-2.7754679e-08,293.1723,7.832612,-1e-45,290.1575,273.15,304.982,0.00027581098,304.31348,293.15012,0.9999986,-3.836998e-11,1.0,0.0,19212.295,0.0,343.15,343.15,-88627.63,174329.39,13857.708742778917,13099.545712520921,0.01784047834512076,19212.295,0.0,7.832612,13099.563552999267,19212.295,19220.127,-4.1025085
2906,-0.00027908536,304.08252,293.4897,-2.8087001e-08,293.17578,8.117013,0.0,290.06784,273.15,304.387,0.00027911345,304.0794,293.15015,0.9999986,-3.836998e-11,1.0,0.0,19212.295,0.0,343.15,343.15,-90761.41,174389.5,12774.658226692103,12416.481155561598,-0.03702978988388145,19212.295,0.0,8.117013,12416.444125771714,19212.295,19220.412,-4.192169
2907,-0.0002809634,304.14612,294.156,-2.8276007e-08,293.17923,8.281864,0.0,289.98224,273.15,304.06644,0.0002809917,304.15356,293.15018,0.9999986,-3.836998e-11,1.0,0.0,19212.295,0.0,343.15,343.15,-91986.53,174449.5,11695.94472217117,11788.794965746518,-0.11600118095493736,19212.295,0.0,8.281864,11788.678964565563,19212.295,19220.576,-4.277771
2908,-0.000282019,304.4805,294.95953,-2.8382242e-08,293.1827,8.375518,0.0,289.90005,273.15,304.02444,0.00028204737,304.49673,293.15024,0.9999986,-3.836998e-11,1.0,0.0,19212.295,0.0,343.15,343.15,-92678.81,174509.5,10738.284133467956,11277.391337688592,-0.2118071606679742,19212.295,0.0,8.375518,11277.179530527925,19212.295,19220.67,-4.359955
2909,-0.00028261746,305.03168,295.82278,-2.8442471e-08,293.1863,8.428934,0.0,289.82077,273.15,304.23648,0.0002826459,305.05435,293.15036,0.9999986,-3.836998e-11,1.0,0.0,19212.295,0.0,343.15,343.15,-93072.45,174569.67,9988.006212022781,10930.894393335322,-0.3149489864177901,19212.295,0.0,8.428934,10930.579444348905,19212.295,19220.725,-4.4392395
2910,-0.00028281688,305.73343,296.67563,-1.5475588e-06,293.1895,8.493738,0.0,289.74368,273.15,304.67007,0.00028436445,305.75998,293.15134,0.9999986,0.005349888,1.0,0.0,19212.295,0.0,343.15,343.15,-93247.25,174630.33,9548.0118686055,10759.135034626155,-22.658861866394624,19212.295,0.0,8.493738,10736.47617275976,19212.295,19220.79,-4.516327
2911,-0.00024983266,306.68506,297.5231,-9.289108e-05,293.36578,8.225446,0.0,289.67065,273.15,305.14145,0.00034272374,306.748,293.4189,0.9999986,0.39253312,1.0,0.0,19212.295,0.0,343.15,343.15,-76236.93,174689.94,10966.15138667616,9613.615533299757,-1621.9466550393856,19212.295,0.0,8.225446,7991.6688782603715,19212.295,19220.52,-4.5893555
2912,-0.0001550879,309.16348,298.3315,-0.00014317002,294.3536,3.0321922,0.0,289.6003,273.15,303.95538,0.00029825792,309.38397,294.4291,0.9999986,0.9284531,1.0,0.0,19212.295,0.0,343.15,343.15,-31580.13,174749.58,7044.928825257557,7055.611334129175,-2391.970500093166,19212.295,0.0,3.0321922,4663.6408340360085,19212.295,19215.326,-4.6596985
2913,-0.00014421964,312.35535,298.88986,-0.00014381825,297.2066,2.5000618,0.0,289.53137,273.15,302.68793,0.00028803787,312.54706,297.62207,0.9999986,0.99714416,1.0,0.7903226,19212.295,4201.823,343.15,343.15,-27338.15,174809.52,4594.7438140157,8156.346684446625,-1016.7495694406448,19212.295,4201.823,2.5000618,7139.5971150059795,23414.117,23416.617,-4.7286377
2914,-0.00014437978,314.61703,299.3548,-0.0001443675,304.2703,2.511606,0.0,289.4633,273.15,303.92328,0.00028874728,314.75223,304.72797,0.9999986,0.99991304,1.0,1.0,19212.295,5316.593,343.15,343.15,-27405.688,174869.47,5540.373685111177,9254.94576098087,2980.4795324900547,19212.295,5316.593,2.511606,12235.425293470926,24528.887,24531.398,-4.7967224
2915,-0.00014270918,316.31796,299.7031,-0.00014270903,310.04343,2.425228,0.0,289.39685,273.15,307.3266,0.0002854182,316.42444,310.40826,0.9999986,0.99999756,1.0,1.0,19212.295,5316.593,343.15,343.15,-26774.277,174929.06,9138.725581537166,9958.595510575207,6197.766851030906,19212.295,5316.593,2.425228,16156.362361606112,24528.887,24531.312,-4.863159
2916,-0.00014235999,317.64526,299.95374,-0.00014236018,314.65488,2.407473,0.0,289.3319,273.15,311.07053,0.00028472015,317.7271,314.94266,0.9999986,0.99999994,1.0,1.0,19212.295,5316.593,343.15,343.15,-26643.41,174989.5,13293.73239848941,10577.9763153663,8789.999875599275,19212.295,5316.593,2.407473,19367.976190965575,24528.887,24531.295,-4.9281006
2917,-0.00014203762,318.66437,300.13788,-0.00014203781,318.26523,2.3911502,0.0,289.27118,273.15,314.22296,0.00028407545,318.72818,318.49316,0.9999986,1.0,1.0,1.0,19212.295,5316.593,343.15,343.15,-26522.854,175049.5,16805.150194748818,11052.125539698565,10814.030134286768,19212.295,5316.593,2.3911502,21866.155673985333,24528.887,24531.277,-4.9888306
2918,-0.00014189362,317.53723,300.3226,-0.0001418938,321.10718,2.3838823,0.0,289.21555,273.15,316.7389,0.0002837874,317.22174,321.2878,0.9999986,1.0,0.21311475,1.0,4094.4236,5316.593,343.15,343.15,-26469.078,175109.23,19566.692984840196,10259.113644650153,12386.651018279694,4094.4236,5316.593,2.3838823,22645.764662929847,9411.017,9413.4,-5.044464
