minute,boiler1_massflowrate,boiler1_supply_temp,radiator_return_temp,boiler2_massflowrate,boiler2_supply_temp,pump1_power,pump2_power,zone_temp,outdoor_air_temp,radiator_supply_temp,radiator_flowrate,boiler1_temp,boiler2_temp,boiler1_isoVal_position,boiler2_isoVal_position,boiler1_actuatorSignal,boiler2_actuatorSignal,boiler1_fuelUse,boiler2_fuelUse,boiler1_supSet,boiler2_supSet,pumps_dP,t,zone_thermal_load,boiler1_power_generation,boiler2_power_generation,boiler1_power_consumption,boiler2_power_consumption,pumps_power_consumption,total_boiler_generation,total_boiler_consumption,total_plant_consumption,zone_temperature_deviation
360,-0.04238808,342.96402,297.24484,-0.04238808,342.97147,0.0,0.0,294.45264,262.55,344.4548,-8.515202e-05,341.37488,342.40527,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.30312,21600.0,-16884.099559341335,-8139.3823,-8140.708,0.0,0.0,0.0,-16280.09,0.0,0.0,0.19262695
375,-0.04238808,343.0034,297.24484,-0.04238808,343.00842,0.0,0.0,294.4302,262.55,344.4548,-8.515202e-05,341.4129,342.40988,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.30312,22500.0,-16884.099559341335,-8146.391,-8147.2876,0.0,0.0,0.0,-16293.679,0.0,0.0,0.17019653
390,-0.04238808,343.03763,297.24484,-0.04238808,343.04102,0.0,0.0,294.4023,262.55,344.4548,-8.515202e-05,341.4506,342.4146,0.0,0.0,0.0,0.0,0.0,0.0,343.15,343.15,-66.30312,23400.0,-16884.099559341335,-8152.487,-8153.09,0.0,0.0,0.0,-16305.576,0.0,0.0,0.14230347
405,-0.042387918,343.06558,297.2451,-0.042387918,343.06787,0.0,0.0,294.37637,262.55,344.45428,-8.515169e-05,341.48776,342.41943,2.4044067e-19,1.0321146e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,24300.0,-16883.76034014234,-8157.3887,-8157.796,0.0,0.0,0.0,-16315.185,0.0,0.0,0.116363525
420,-0.042387918,343.08673,297.2498,-0.042387918,343.08832,0.0,0.0,294.34552,262.55,344.4442,-8.5151696e-05,341.5243,342.4243,1.5339002e-18,-7.262351e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.303185,25200.0,-16878.479300880044,-8160.317,-8160.5996,0.0,0.0,0.0,-16320.916,0.0,0.0,0.085510254
435,-0.04238792,343.1001,297.3414,-0.04238792,343.10114,0.0,0.0,294.31992,262.60736,344.2533,-8.51517e-05,341.5599,342.42905,2.0963318e-19,-3.4649882e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30319,26100.0,-16777.436896237185,-8146.387,-8146.5723,0.0,0.0,0.0,-16292.959,0.0,0.0,0.059906006
450,-0.04238793,343.10474,297.99777,-0.04238793,343.10547,0.0,0.0,294.28525,262.75293,342.94772,-8.515172e-05,341.59448,342.43372,1.8759163e-19,-6.3173153e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.3032,27000.0,-16075.775367115242,-8030.3613,-8030.4917,0.0,0.0,0.0,-16060.854,0.0,0.0,0.025238037
465,-0.04238794,343.0998,300.22037,-0.04238794,343.10028,0.0,0.0,294.2525,262.94705,338.54562,-8.515174e-05,341.62775,342.43817,-4.531571e-20,-3.15285e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30322,27900.0,-13706.54147120174,-7633.796,-7633.883,0.0,0.0,0.0,-15267.679,0.0,0.0,-0.007507324
480,-0.042387955,343.08383,303.42703,-0.042387955,343.08414,0.0,0.0,294.2226,263.15,331.83893,-8.515177e-05,341.65936,342.44235,-8.298898e-19,5.4538044e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.303246,28800.0,-10161.157357150063,-7060.076,-7060.131,0.0,0.0,0.0,-14120.207,0.0,0.0,-0.03741455
495,-0.042387977,343.05597,307.3316,-0.042387977,343.05618,0.0,0.0,294.1877,263.35373,323.07886,-8.515182e-05,341.68915,342.44614,-9.410703e-20,-1.617162e-20,0.0,0.0,0.0,0.0,343.15,343.15,-66.30328,29700.0,-5631.810598862952,-6359.991,-6360.0293,0.0,0.0,0.0,-12720.0205,0.0,0.0,-0.07229614
510,-0.042388003,343.0148,311.04697,-0.042388003,343.01495,0.0,0.0,294.15973,263.59082,313.87994,-8.515186e-05,341.7167,342.4494,-1.4652487e-17,-3.609656e-18,0.0,0.0,0.0,0.0,343.15,343.15,-66.30332,30600.0,-1013.1798423588467,-5691.221,-5691.2485,0.0,0.0,0.0,-11382.47,0.0,0.0,-0.10028076
525,-0.042388033,342.96008,313.82993,-0.042388033,342.96017,0.0,0.0,294.12833,263.88248,305.83636,-8.515193e-05,341.74188,342.45212,6.235667e-19,2.2711164e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30337,31500.0,2858.8019059963444,-5186.034,-5186.051,0.0,0.0,0.0,-10372.085,0.0,0.0,-0.13168335
540,-0.042388067,342.89014,315.24756,-0.042388067,342.8902,0.0,0.0,294.09982,264.25,300.06772,-8.5151994e-05,341.76425,342.45413,-6.9245533e-19,-7.3105457e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.30341,32400.0,5428.893365934017,-4921.2046,-4921.216,0.0,0.0,0.0,-9842.42,0.0,0.0,-0.16018677
555,-0.0423881,342.80426,315.4312,-0.0423881,342.8043,0.0,0.0,294.0698,264.7461,296.68466,-8.515206e-05,341.78348,342.45532,9.957177e-19,1.3465284e-19,0.0,0.0,0.0,0.0,343.15,343.15,-66.303474,33300.0,6704.491405903123,-4873.224,-4873.2295,0.0,0.0,0.0,-9746.453,0.0,0.0,-0.19021606
