DATETIME,Environment:Outdoor Dry Bulb [C], TOTAL POWER[KW],DR Event,Power prediction
 01/03  08:00:00,10.9,144.97875,0,183.68202
 01/03  08:15:00,10.95,183.68202,0,183.72182
 01/03  08:30:00,11,183.72182,0,183.74227
 01/03  08:45:00,11.05,183.74227,0,183.76078
 01/03  09:00:00,11.1,183.76078,0,199.18201
 01/03  09:15:00,11.175,199.18201,0,199.29233
 01/03  09:30:00,11.25,199.29233,0,199.36353
 01/03  09:45:00,11.325,199.36353,0,199.42172
 01/03  10:00:00,11.4,199.42172,0,209.7065
 01/03  10:15:00,11.1,209.7065,0,209.77422
 01/03  10:30:00,10.8,209.77422,0,209.83655
 01/03  10:45:00,10.5,209.83655,0,209.89443
 01/03  11:00:00,10.2,209.89443,0,210.99834
 01/03  11:15:00,9.85,210.99834,0,211.05918
 01/03  11:30:00,9.5,211.05918,0,211.11758
 01/03  11:45:00,9.15,211.11758,0,211.17385
 01/03  12:00:00,8.8,211.17385,0,214.1766
 01/03  12:15:00,8.475,214.1766,0,214.23088
 01/03  12:30:00,8.15,214.23088,0,214.2649
 01/03  12:45:00,7.825,214.2649,0,214.29861
 01/03  13:00:00,7.5,214.29861,0,214.52058
 01/03  13:15:00,7.25,214.52058,0,214.55503
 01/03  13:30:00,7,214.55503,0,214.59525
 01/03  13:45:00,6.75,214.59525,0,214.62726
 01/03  14:00:00,6.5,214.62726,0,208.46239
 01/03  14:15:00,6.275,208.46239,0,208.478
 01/03  14:30:00,6.05,208.478,0,208.49875
 01/03  14:45:00,5.825,208.49875,0,208.51683
 01/03  15:00:00,5.6,208.51683,0,196.44349
 01/03  15:15:00,5.325,196.44349,0,196.43733
 01/03  15:30:00,5.05,196.43733,0,196.42202
 01/03  15:45:00,4.775,196.42202,0,196.41102
 01/03  16:00:00,4.5,196.41102,0,157.85081
 01/03  16:15:00,4.675,157.85081,0,157.77131
 01/03  16:30:00,4.85,157.77131,0,157.73144
 01/03  16:45:00,5.025,157.73144,0,157.65033
 01/03  17:00:00,5.2,157.65033,0,118.2407
 01/03  17:15:00,5.35,118.2407,0,118.05005
 01/03  17:30:00,5.5,118.05005,0,117.9573
 01/03  17:45:00,5.65,117.9573,0,117.87479
 01/03  18:00:00,5.8,117.87479,0,67.58229
 01/03  18:15:00,5.975,67.58229,0,67.58229
 01/03  18:30:00,6.15,67.58229,0,67.58229
 01/03  18:45:00,6.325,67.58229,0,67.58229
 01/03  19:00:00,6.5,67.58229,0,56.31858
 01/03  19:15:00,6.675,56.31858,0,56.31858
 01/03  19:30:00,6.85,56.31858,0,56.31858
 01/03  19:45:00,7.025,56.31858,0,56.31858
 01/03  20:00:00,7.2,56.31858,0,56.31858
 01/03  20:15:00,7.375,56.31858,0,56.31858
 01/03  20:30:00,7.55,56.31858,0,56.31858
 01/03  20:45:00,7.725,56.31858,0,56.31858
 01/03  21:00:00,7.9,56.31858,0,56.31858
 01/03  21:15:00,8.075,56.31858,0,56.31858
 01/03  21:30:00,8.25,56.31858,0,56.31858
 01/03  21:45:00,8.425,56.31858,0,56.31858
 01/03  22:00:00,8.6,56.31858,0,56.31858
 01/03  22:15:00,8.65,56.31858,0,56.31858
 01/03  22:30:00,8.7,56.31858,0,56.31858
 01/03  22:45:00,8.75,56.31858,0,56.31858
 01/03  23:00:00,8.8,56.31858,0,56.31858
 01/03  23:15:00,8.75,56.31858,0,56.31858
 01/03  23:30:00,8.7,56.31858,0,56.31858
 01/03  23:45:00,8.65,56.31858,0,56.31858
